City,Company,Address,Site,Phone,Count of reviews,Main URL,Reviews url,JSON ANS
RND,"ООО ""Генерал""","Адрес: 344004, Интернациональная ул., 5, Ростов-на-Дону, Ростовская обл., 344004 ",Сайт: general-ohrana.ru ,Телефон: 8 (863) 244-57-33 ,37,https://www.google.com/maps/place/%D0%9E%D0%9E%D0%9E+%22%D0%93%D0%B5%D0%BD%D0%B5%D1%80%D0%B0%D0%BB%22/data=!4m5!3m4!1s0x40e3b92f064bfc23:0x9618c389aa2caccb!8m2!3d47.2096748!4d39.6745719?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%9E%D0%9E%D0%9E+%22%D0%93%D0%B5%D0%BD%D0%B5%D1%80%D0%B0%D0%BB%22/@47.2096748,39.6723832,17z/data=!4m7!3m6!1s0x40e3b92f064bfc23:0x9618c389aa2caccb!8m2!3d47.20967!4d39.6745572!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4675784449760951331!2y10815609501163236555!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1ssqp6YbGQAaX3qwHOvoTYAw!7e81
RND,ИНПК Секьюрити,"Адрес: ул. Черепахина, 215, Ростов-на-Дону, Ростовская обл., 344011 ",Сайт: inpk-security.ru ,Телефон: 8 (800) 234-22-55 ,20,https://www.google.com/maps/place/%D0%98%D0%9D%D0%9F%D0%9A+%D0%A1%D0%B5%D0%BA%D1%8C%D1%8E%D1%80%D0%B8%D1%82%D0%B8/data=!4m5!3m4!1s0x40e3b9a30c567d71:0x36c799d065498995!8m2!3d47.2316666!4d39.697334?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%98%D0%9D%D0%9F%D0%9A+%D0%A1%D0%B5%D0%BA%D1%8C%D1%8E%D1%80%D0%B8%D1%82%D0%B8/@47.2316666,39.6951453,17z/data=!4m7!3m6!1s0x40e3b9a30c567d71:0x36c799d065498995!8m2!3d47.2316666!4d39.697334!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4675784948078509425!2y3947292718745094549!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sy6p6YdXxDISwrgTm4ovoBQ!7e81
RND,Гладиатор,"Адрес: пр. Соколова, 78, Ростов-на-Дону, Ростовская обл., 344006 ",Сайт: gkgladiator.ru ,Телефон: 8 (863) 291-03-14 ,10,https://www.google.com/maps/place/%D0%93%D0%BB%D0%B0%D0%B4%D0%B8%D0%B0%D1%82%D0%BE%D1%80/data=!4m5!3m4!1s0x40e3b9a8f82b0a17:0xc956b9bbc3c02e7!8m2!3d47.232608!4d39.7177427?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%93%D0%BB%D0%B0%D0%B4%D0%B8%D0%B0%D1%82%D0%BE%D1%80/@47.232608,39.715554,17z/data=!4m7!3m6!1s0x40e3b9a8f82b0a17:0xc956b9bbc3c02e7!8m2!3d47.2326084!4d39.7177448!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4675784973509921303!2y906749216607175399!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1s5ap6YeXICZOdrwS8qaXQBw!7e81
RND,"Святогор, Чоп","Адрес: пр. Королева, 5/3, Ростов-на-Дону, Ростовская обл., 344092 ",Сайт: svyatogor161.ru ,Телефон: 8 (863) 237-18-45 ,7,"https://www.google.com/maps/place/%D0%A1%D0%B2%D1%8F%D1%82%D0%BE%D0%B3%D0%BE%D1%80,+%D0%A7%D0%BE%D0%BF/data=!4m5!3m4!1s0x40e3c804c6038d17:0x37bae37a44821c57!8m2!3d47.2953106!4d39.6967541?authuser=0&hl=ru&rclk=1","https://www.google.com/maps/place/%D0%A1%D0%B2%D1%8F%D1%82%D0%BE%D0%B3%D0%BE%D1%80,+%D0%A7%D0%BE%D0%BF/@47.2953106,39.6945654,17z/data=!4m7!3m6!1s0x40e3c804c6038d17:0x37bae37a44821c57!8m2!3d47.2952799!4d39.6967871!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4675800760968252695!2y4015772132029111383!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1s_6p6YY7-CeSJrwSrxLD4DA!7e81
RND,авангард охранное агентство,"Адрес: ул. Немировича-Данченко, 76Б, Ростов-на-Дону, Ростовская обл., 344064 ",Сайт: avangard-rnd.ru ,Телефон: 8 (863) 243-78-08 ,7,https://www.google.com/maps/place/%D0%B0%D0%B2%D0%B0%D0%BD%D0%B3%D0%B0%D1%80%D0%B4+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%B0%D0%B3%D0%B5%D0%BD%D1%82%D1%81%D1%82%D0%B2%D0%BE/data=!4m5!3m4!1s0x40e3b86af26a5d51:0xacef517d6243b698!8m2!3d47.2595689!4d39.6943467?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%B0%D0%B2%D0%B0%D0%BD%D0%B3%D0%B0%D1%80%D0%B4+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%B0%D0%B3%D0%B5%D0%BD%D1%82%D1%81%D1%82%D0%B2%D0%BE/@47.2595689,39.692158,17z/data=!4m7!3m6!1s0x40e3b86af26a5d51:0xacef517d6243b698!8m2!3d47.2595534!4d39.6942617!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4675783607613807953!2y12461268292918818456!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sXqt6YYfGLM2IrwSAtoyoAg!7e81
RND,Ассоциация охранных предприятий 161 ЛЕГИОН,"Адрес: ул. 1905 года, 17, Ростов-на-Дону, Ростовская обл., 344012 ",Не указан,Телефон: 8 (950) 849-99-99 ,9,https://www.google.com/maps/place/%D0%90%D1%81%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D1%86%D0%B8%D1%8F+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D1%8B%D1%85+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B9+161+%D0%9B%D0%95%D0%93%D0%98%D0%9E%D0%9D/data=!4m5!3m4!1s0x40e3b92171bcfa97:0x7eeda9e023fc256a!8m2!3d47.2435059!4d39.707292?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%90%D1%81%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D1%86%D0%B8%D1%8F+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D1%8B%D1%85+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B9+161+%D0%9B%D0%95%D0%93%D0%98%D0%9E%D0%9D/@47.2435059,39.7051033,17z/data=!4m7!3m6!1s0x40e3b92171bcfa97:0x7eeda9e023fc256a!8m2!3d47.2435059!4d39.707292!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4675784391433976471!2y9146153198400841066!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1seKt6YZrgOejzqwHA0KfAAw!7e81
RND,Охранно-розыскное предприятие,"Адрес: ул. Вавилова, 124/6, Ростов-на-Дону, Ростовская обл., 344064 ",Сайт: orp-ohrana.ru ,Телефон: 8 (863) 310-04-77 ,10,https://www.google.com/maps/place/%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE-%D1%80%D0%BE%D0%B7%D1%8B%D1%81%D0%BA%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/data=!4m5!3m4!1s0x40e3c8728d49e3d7:0xffd7805ad9b9d4ad!8m2!3d47.3035533!4d39.6776586?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE-%D1%80%D0%BE%D0%B7%D1%8B%D1%81%D0%BA%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/@47.3035533,39.6754699,17z/data=!4m7!3m6!1s0x40e3c8728d49e3d7:0xffd7805ad9b9d4ad!8m2!3d47.3035533!4d39.6776586!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4675801232462963671!2y18435344727352661165!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1skqt6Yen5MvDFrgS8trL4Bg!7e81
RND,"Филиал ФГУП ""Охрана"" Росгвардии РФ по РО","Адрес: ул. Советская, 15, Ростов-на-Дону, Ростовская обл., 344019 ",Сайт: fgup-ohrana.ru ,Телефон: 8 (863) 251-12-12 ,27,https://www.google.com/maps/place/%D0%A4%D0%B8%D0%BB%D0%B8%D0%B0%D0%BB+%D0%A4%D0%93%D0%A3%D0%9F+%22%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%B0%22+%D0%A0%D0%BE%D1%81%D0%B3%D0%B2%D0%B0%D1%80%D0%B4%D0%B8%D0%B8+%D0%A0%D0%A4+%D0%BF%D0%BE+%D0%A0%D0%9E/data=!4m5!3m4!1s0x40e3b98dee346c8f:0xcf1e84b79bcec893!8m2!3d47.2300832!4d39.7591095?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%A4%D0%B8%D0%BB%D0%B8%D0%B0%D0%BB+%D0%A4%D0%93%D0%A3%D0%9F+%22%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%B0%22+%D0%A0%D0%BE%D1%81%D0%B3%D0%B2%D0%B0%D1%80%D0%B4%D0%B8%D0%B8+%D0%A0%D0%A4+%D0%BF%D0%BE+%D0%A0%D0%9E/@47.2300832,39.7569208,17z/data=!4m7!3m6!1s0x40e3b98dee346c8f:0xcf1e84b79bcec893!8m2!3d47.2300487!4d39.7591243!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4675784857378647183!2y14924512139280304275!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1srat6YbaWEvD1qwGA651g!7e81
RND,Филиал ФГУП «Охрана» МВД России по Ростовской области,"Адрес: ул. Шеболдаева, 4 корпус 3, Ростов-на-Дону, Ростовская обл., 344038 ",Сайт: fgup-ohrana.ru ,Телефон: 8 (863) 230-12-63 ,13,https://www.google.com/maps/place/%D0%A4%D0%B8%D0%BB%D0%B8%D0%B0%D0%BB+%D0%A4%D0%93%D0%A3%D0%9F+%C2%AB%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%B0%C2%BB+%D0%9C%D0%92%D0%94+%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8+%D0%BF%D0%BE+%D0%A0%D0%BE%D1%81%D1%82%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8/data=!4m5!3m4!1s0x40e3b9a8f82b0a17:0xcd817b4e003acfc5!8m2!3d47.246763!4d39.6976049?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%A4%D0%B8%D0%BB%D0%B8%D0%B0%D0%BB+%D0%A4%D0%93%D0%A3%D0%9F+%C2%AB%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%B0%C2%BB+%D0%9C%D0%92%D0%94+%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8+%D0%BF%D0%BE+%D0%A0%D0%BE%D1%81%D1%82%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8/@47.246763,39.6954162,17z/data=!4m7!3m6!1s0x40e3b9a8f82b0a17:0xcd817b4e003acfc5!8m2!3d47.2467693!4d39.6975326!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4675784973509921303!2y14808252624712421317!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sx6t6YY_VEJb5rgTawYbICQ!7e81
RND,"СпецОхрана, Охранное Предприятие","Адрес: Будённовский просп., 106, офис 1-2, Ростов-на-Дону, Ростовская обл., 344018 ",Сайт: specohrana.business.site ,Телефон: 8 (863) 290-39-97 ,2,"https://www.google.com/maps/place/%D0%A1%D0%BF%D0%B5%D1%86%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%B0,+%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%9F%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/data=!4m5!3m4!1s0x40e3b9a8f82b0a17:0x3a76403ba564fe4!8m2!3d47.24101!4d39.702462?authuser=0&hl=ru&rclk=1","https://www.google.com/maps/place/%D0%A1%D0%BF%D0%B5%D1%86%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%B0,+%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%9F%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/@47.24101,39.7002733,17z/data=!4m7!3m6!1s0x40e3b9a8f82b0a17:0x3a76403ba564fe4!8m2!3d47.2410103!4d39.7024694!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4675784973509921303!2y263289070398361572!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1s4at6YdPFJJL8rgTm5YbQDw!7e81
RND,"ШЕРИФ, охранное предприятие","Адрес: Технологический пер., 8д, Ростов-на-Дону, Ростовская обл., 344064 ",Сайт: sheriff-rostov.ru ,Телефон: 8 (863) 203-79-23 ,3,"https://www.google.com/maps/place/%D0%A8%D0%95%D0%A0%D0%98%D0%A4,+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/data=!4m5!3m4!1s0x40e3b9a8f82b0a17:0xd69d8bb48a291327!8m2!3d47.2688818!4d39.6897577?authuser=0&hl=ru&rclk=1","https://www.google.com/maps/place/%D0%A8%D0%95%D0%A0%D0%98%D0%A4,+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/@47.2688818,39.687569,17z/data=!4m7!3m6!1s0x40e3b9a8f82b0a17:0xd69d8bb48a291327!8m2!3d47.2688871!4d39.6897924!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4675784973509921303!2y15464670302988473127!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1s-6t6YerFJI2HwPAP76KG4AU!7e81
RND,"""ГЕНЕРАЛ"" Группа Охранных Предприятий","Адрес: Большая Садовая ул., 127, Ростов-на-Дону, Ростовская обл., 344022 ",Сайт: general-ohrana.ru ,Телефон: 8 (863) 261-30-85 ,4,https://www.google.com/maps/place/%22%D0%93%D0%95%D0%9D%D0%95%D0%A0%D0%90%D0%9B%22+%D0%93%D1%80%D1%83%D0%BF%D0%BF%D0%B0+%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D1%8B%D1%85+%D0%9F%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B9/data=!4m5!3m4!1s0x40e3b9992cb24883:0x8e53c514226a0667!8m2!3d47.226688!4d39.73672?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%22%D0%93%D0%95%D0%9D%D0%95%D0%A0%D0%90%D0%9B%22+%D0%93%D1%80%D1%83%D0%BF%D0%BF%D0%B0+%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D1%8B%D1%85+%D0%9F%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B9/@47.226688,39.7345313,17z/data=!4m7!3m6!1s0x40e3b9992cb24883:0x8e53c514226a0667!8m2!3d47.2263701!4d39.7368726!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4675784905671723139!2y10255757466720142951!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sFKx6YeGbDYSorgTrxZX4Cw!7e81
